"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 2014","2014/01",75853,Not Applicable,Not Applicable
,"Feb., 2014","2014/02",66249,Not Applicable,Not Applicable
,"Mar., 2014","2014/03",70985,Not Applicable,Not Applicable
,"Apr., 2014","2014/04",66585,Not Applicable,Not Applicable
,"May, 2014","2014/05",66735,Not Applicable,Not Applicable
,"Jun., 2014","2014/06",61750,Not Applicable,Not Applicable
,"Jul., 2014","2014/07",63268,Not Applicable,Not Applicable
,"Aug., 2014","2014/08",62091,Not Applicable,Not Applicable
,"Sep., 2014","2014/09",62194,Not Applicable,Not Applicable
,"Oct., 2014","2014/10",66805,Not Applicable,Not Applicable
,"Nov., 2014","2014/11",68950,Not Applicable,Not Applicable
,"Dec., 2014","2014/12",76310,Not Applicable,Not Applicable
,"Jan., 2015","2015/01",82831,Not Applicable,Not Applicable
,"Feb., 2015","2015/02",71357,Not Applicable,Not Applicable
,"Mar., 2015","2015/03",75775,Not Applicable,Not Applicable
,"Apr., 2015","2015/04",69477,Not Applicable,Not Applicable
,"May, 2015","2015/05",68765,Not Applicable,Not Applicable
,"Jun., 2015","2015/06",64405,Not Applicable,Not Applicable
,"Jul., 2015","2015/07",66309,Not Applicable,Not Applicable
,"Aug., 2015","2015/08",64816,Not Applicable,Not Applicable
,"Sep., 2015","2015/09",63389,Not Applicable,Not Applicable
,"Oct., 2015","2015/10",68320,Not Applicable,Not Applicable
,"Nov., 2015","2015/11",68154,Not Applicable,Not Applicable
,"Dec., 2015","2015/12",72948,Not Applicable,Not Applicable
,"Jan., 2016","2016/01",76855,Not Applicable,Not Applicable
,"Feb., 2016","2016/02",71817,Not Applicable,Not Applicable
,"Mar., 2016","2016/03",75106,Not Applicable,Not Applicable
,"Apr., 2016","2016/04",69813,Not Applicable,Not Applicable
,"May, 2016","2016/05",68706,Not Applicable,Not Applicable
,"Jun., 2016","2016/06",64938,Not Applicable,Not Applicable
,"Jul., 2016","2016/07",65796,Not Applicable,Not Applicable
,"Aug., 2016","2016/08",66167,Not Applicable,Not Applicable
,"Sep., 2016","2016/09",64200,Not Applicable,Not Applicable
,"Oct., 2016","2016/10",69488,Not Applicable,Not Applicable
,"Nov., 2016","2016/11",70016,Not Applicable,Not Applicable
,"Dec., 2016","2016/12",77776,Not Applicable,Not Applicable
,"Jan., 2017","2017/01",81377,Not Applicable,Not Applicable
,"Feb., 2017","2017/02",72400,Not Applicable,Not Applicable
,"Mar., 2017","2017/03",77362,Not Applicable,Not Applicable
,"Apr., 2017","2017/04",70460,Not Applicable,Not Applicable
,"May, 2017","2017/05",70299,Not Applicable,Not Applicable
,"Jun., 2017","2017/06",66182,Not Applicable,Not Applicable
,"Jul., 2017","2017/07",66441,Not Applicable,Not Applicable
,"Aug., 2017","2017/08",66583,Not Applicable,Not Applicable
,"Sep., 2017","2017/09",66309,Not Applicable,Not Applicable
,"Oct., 2017","2017/10",70164,Not Applicable,Not Applicable
,"Nov., 2017","2017/11",70774,Not Applicable,Not Applicable
,"Dec., 2017","2017/12",80774,Not Applicable,Not Applicable
,"Jan., 2018","2018/01",88400,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",72503,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",77047,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",71915,Not Applicable,Not Applicable
,"May, 2018","2018/05",70352,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",66871,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",68050,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",67333,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",65407,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",71078,Not Applicable,Not Applicable
,"Nov., 2018","2018/11",72229,Not Applicable,Not Applicable
,"Dec., 2018","2018/12",77477,Not Applicable,Not Applicable
,"Jan., 2019","2019/01",80196,Not Applicable,Not Applicable
,"Feb., 2019","2019/02",72391,Not Applicable,Not Applicable
,"Mar., 2019","2019/03",79033,Not Applicable,Not Applicable
,"Apr., 2019","2019/04",72627,Not Applicable,Not Applicable
,"May, 2019","2019/05",72731,Not Applicable,Not Applicable
,"Jun., 2019","2019/06",68381,Not Applicable,Not Applicable
,"Jul., 2019","2019/07",69406,Not Applicable,Not Applicable
,"Aug., 2019","2019/08",68304,Not Applicable,Not Applicable
,"Sep., 2019","2019/09",66931,Not Applicable,Not Applicable
,"Oct., 2019","2019/10",71902,Not Applicable,Not Applicable
,"Nov., 2019","2019/11",73464,Not Applicable,Not Applicable
,"Dec., 2019","2019/12",79247,Not Applicable,Not Applicable
,"Jan., 2020","2020/01",81030,Not Applicable,Not Applicable
,"Feb., 2020","2020/02",75127,Not Applicable,Not Applicable
,"Mar., 2020","2020/03",79696,Not Applicable,Not Applicable
,"Apr., 2020","2020/04",82035,Not Applicable,Not Applicable
,"May, 2020","2020/05",74941,Not Applicable,Not Applicable
,"Jun., 2020","2020/06",71180,Not Applicable,Not Applicable
,"Jul., 2020","2020/07",75879,Not Applicable,Not Applicable
,"Aug., 2020","2020/08",75044,Not Applicable,Not Applicable
,"Sep., 2020","2020/09",72164,Not Applicable,Not Applicable
,"Oct., 2020","2020/10",76303,Not Applicable,Not Applicable
,"Nov., 2020","2020/11",78008,Not Applicable,Not Applicable
,"Dec., 2020","2020/12",87334,Not Applicable,Not Applicable
"Total",,,18783791,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"ICD-10 Codes: I00-I99 (Diseases of the circulatory system)"
"Group By: Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Feb 2, 2026 1:15:09 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Feb 2, 2026 1:15:09 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"4. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"5. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
